driverRef,circuitRef,date,position
albon,bahrain,2024-03-02,15.0
albon,jeddah,2024-03-09,11.0
albon,albert_park,2024-03-24,11.0
albon,shanghai,2024-04-21,12.0
albon,miami,2024-05-05,18.0
albon,monaco,2024-05-26,9.0
albon,catalunya,2024-06-23,18.0
albon,red_bull_ring,2024-06-30,15.0
albon,silverstone,2024-07-07,9.0
albon,hungaroring,2024-07-21,14.0
albon,spa,2024-07-28,12.0
albon,zandvoort,2024-08-25,14.0
albon,monza,2024-09-01,9.0
albon,baku,2024-09-15,7.0
albon,americas,2024-10-20,16.0
albon,losail,2024-12-01,15.0
albon,yas_marina,2024-12-08,11.0
alonso,bahrain,2024-03-02,9.0
alonso,jeddah,2024-03-09,5.0
alonso,albert_park,2024-03-24,8.0
alonso,suzuka,2024-04-07,6.0
alonso,shanghai,2024-04-21,7.0
alonso,miami,2024-05-05,9.0
alonso,imola,2024-05-19,19.0
alonso,monaco,2024-05-26,11.0
alonso,villeneuve,2024-06-09,6.0
alonso,catalunya,2024-06-23,12.0
alonso,red_bull_ring,2024-06-30,18.0
alonso,silverstone,2024-07-07,8.0
alonso,hungaroring,2024-07-21,11.0
alonso,spa,2024-07-28,8.0
alonso,zandvoort,2024-08-25,10.0
alonso,monza,2024-09-01,11.0
alonso,baku,2024-09-15,6.0
alonso,marina_bay,2024-09-22,8.0
alonso,americas,2024-10-20,13.0
alonso,interlagos,2024-11-03,14.0
alonso,vegas,2024-11-23,11.0
alonso,losail,2024-12-01,7.0
alonso,yas_marina,2024-12-08,9.0
bearman,jeddah,2024-03-09,7.0
bearman,baku,2024-09-15,10.0
bearman,interlagos,2024-11-03,12.0
bottas,bahrain,2024-03-02,19.0
bottas,jeddah,2024-03-09,17.0
bottas,albert_park,2024-03-24,14.0
bottas,suzuka,2024-04-07,14.0
bottas,miami,2024-05-05,16.0
bottas,imola,2024-05-19,18.0
bottas,monaco,2024-05-26,13.0
bottas,villeneuve,2024-06-09,13.0
bottas,catalunya,2024-06-23,16.0
bottas,red_bull_ring,2024-06-30,16.0
bottas,silverstone,2024-07-07,15.0
bottas,hungaroring,2024-07-21,16.0
bottas,spa,2024-07-28,15.0
bottas,zandvoort,2024-08-25,19.0
bottas,monza,2024-09-01,16.0
bottas,baku,2024-09-15,16.0
bottas,marina_bay,2024-09-22,16.0
bottas,americas,2024-10-20,17.0
bottas,rodriguez,2024-10-27,14.0
bottas,interlagos,2024-11-03,13.0
bottas,vegas,2024-11-23,18.0
bottas,losail,2024-12-01,11.0
colapinto,monza,2024-09-01,12.0
colapinto,baku,2024-09-15,8.0
colapinto,marina_bay,2024-09-22,11.0
colapinto,americas,2024-10-20,10.0
colapinto,rodriguez,2024-10-27,12.0
colapinto,vegas,2024-11-23,14.0
doohan,yas_marina,2024-12-08,15.0
gasly,bahrain,2024-03-02,18.0
gasly,albert_park,2024-03-24,13.0
gasly,suzuka,2024-04-07,16.0
gasly,shanghai,2024-04-21,13.0
gasly,miami,2024-05-05,12.0
gasly,imola,2024-05-19,16.0
gasly,monaco,2024-05-26,10.0
gasly,villeneuve,2024-06-09,9.0
gasly,catalunya,2024-06-23,9.0
gasly,red_bull_ring,2024-06-30,10.0
gasly,spa,2024-07-28,13.0
