driverRef,media_posicao,volta_mais_rapida,circuito_volta_mais_rapida,velocidade_maxima,circuito_velocidade_maxima
albon,12.705882352941176,1:10.364,red_bull_ring,248.514,monza
alonso,9.826086956521738,1:07.694,red_bull_ring,251.432,monza
bearman,9.666666666666666,1:22.494,interlagos,241.103,jeddah
bottas,15.545454545454545,1:10.449,red_bull_ring,249.432,monza
colapinto,11.166666666666666,1:20.090,rodriguez,249.077,monza
doohan,15.0,1:29.121,yas_marina,213.323,yas_marina
gasly,11.45,1:09.609,red_bull_ring,248.997,monza
hamilton,5.863636363636363,1:09.562,red_bull_ring,255.849,monza
hulkenberg,10.666666666666666,1:10.215,red_bull_ring,250.432,monza
kevin_magnussen,13.047619047619047,1:10.125,red_bull_ring,249.946,monza
lawson,13.5,1:19.502,rodriguez,230.187,vegas
leclerc,3.9130434782608696,1:09.584,red_bull_ring,250.58,monza
max_verstappen,2.9565217391304346,1:07.719,red_bull_ring,255.12,monza
norris,4.291666666666667,1:08.016,red_bull_ring,256.1,monza
ocon,13.238095238095237,1:09.649,red_bull_ring,247.261,monza
perez,7.9,1:09.694,red_bull_ring,251.35,monza
piastri,5.125,1:08.697,red_bull_ring,254.503,monza
ricciardo,12.75,1:10.426,red_bull_ring,247.625,monza
russell,5.590909090909091,1:09.164,red_bull_ring,254.215,monza
sainz,4.714285714285714,1:09.282,red_bull_ring,250.601,monza
sargeant,16.666666666666668,1:10.406,red_bull_ring,237.657,jeddah
stroll,12.619047619047619,1:10.143,red_bull_ring,253.609,monza
tsunoda,11.85,1:10.318,red_bull_ring,238.926,jeddah
zhou,15.227272727272727,1:10.470,red_bull_ring,245.085,monza
